"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"KATNA1",856.839675239286,671.755687695042,629.230694978917,545.431434351412,888.259630958477,785.677120341783,648.319946377947,617.935476827225,767.45606565998,720.168674118976,613.101997073291,574.087344697134,622.687269317265,667.63125994399,689.871037985642,634.017407545228,639.429676627931,715.516509086699
"LATS1",696.8448652396,732.923685273777,825.955693868877,1556.58307854821,546.753986434635,522.607702519478,1016.14647696956,864.485490308795,808.993636224051,712.13331931709,1028.26543548881,1032.78024824912,1006.73477470662,876.847184021146,1104.70739725118,686.85219150733,659.223596631218,622.455466187079
"LOC105378050",1.92764831324924,0,0,5.16646825502015,1.72477598244364,7.06226625026322,0,0,0.988989775335026,0,0,0,2.56601896696675,1.85969710290805,0,0,0,0
"LOC645967",6.74676909637233,2.1845713420977,6.50928305150604,3.69033446787153,25.8716397366547,3.53113312513161,5.13724204736883,2.0805908310681,3.9559591013401,7.03093545164969,3.04520859473489,1.92324068575254,3.42135862262233,0.929848551454025,4.56868237076584,12.3281162578239,10.3272626104107,5.26760620186527
"NUP43",2827.86007553663,2728.52960628002,2665.91303642792,2715.34810145987,2732.04515619073,2900.82586229562,2688.83248759285,2364.59147950889,2501.15514182228,3063.4790182188,3009.68116112965,2766.58172645503,2973.16064305881,3138.23886115733,2933.09408203167,2212.89686827939,2346.0098229983,2261.55892933415
"PCMT1",3931.43873487182,3756.37042273699,3831.79795631989,2352.21918982131,3246.02839895894,3502.88406013056,3680.32020273503,3576.53563860606,3220.15070849084,3994.57575588726,3089.87165412433,3100.2639854331,3514.59064508879,3743.5702681539,3404.5821026947,3735.41922612063,3431.23300230896,3360.73275679004
"BTBD10P2",3.85529662649848,0,0,6.64260204216876,24.146863754211,0,0,0,0,0,3.04520859473489,0,0,0,0,0,0,0
"LOC107986660",21.2041314457416,2.1845713420977,4.33952203433736,10.3329365100403,25.8716397366547,28.2490650010529,12.3293809136852,2.0805908310681,5.93393865201015,6.02651610141402,3.04520859473489,0,5.98737758958908,5.57909130872415,1.82747294830634,3.52231893080682,0,1.75586873395509
"LRP11",1209.5993165639,1119.59281282507,1320.66120578334,917.417148712863,657.139649311029,764.490321590994,1176.42842884746,1284.76483818455,1304.4775136669,1326.83796166132,1316.54518245705,1406.85056162799,1176.94736618208,1254.36569591148,1260.04259785722,1210.79713246484,1424.30163501915,1337.0940409068
"RAET1E",0,6.55371402629309,4.33952203433736,5.90453514859445,0,7.06226625026322,4.10979363789507,0,1.97797955067005,0,1.0150695315783,3.84648137150509,0,0,1.82747294830634,1.76115946540341,0,0
"RAET1G",0,0,1.44650734477912,0,0,0,0,13.5238404019426,2.96696932600508,0,0,0,0,3.7193942058161,0,2.64173919810512,1.72121043506845,0
"ULBP2",271.798412168143,330.962558327801,317.508362179017,140.232709779118,93.1379030519568,112.996260004212,175.693678020014,183.091993133993,135.491599220899,287.263934167402,317.716763384007,360.607628578602,198.438800112095,145.056374026828,201.022024313697,127.684061241747,102.412020886573,117.643205174991
"ULBP1",44.3359112047325,56.7988548945401,54.9672791016066,54.6169501244987,10.3486558946619,31.7801981261845,36.9881427410556,58.2565432699068,51.4274683174213,96.4242576226244,106.582300815721,101.931756344885,29.9368879479454,55.7909130872415,51.1692425525774,4.40289866350853,12.0484730454792,8.77934366977544
