"","SKA03_16","SKA03_19","SKA03_20","SKA03_41","SKA03_43","SKA03_45"
"C4BPB",3871.69384734501,2626.17873991508,2975.54875979449,2732.17301130846,1833.09779784768,2047.55864058688
"C4BPA",237.307014078834,259.431868587799,204.531101106036,267.368612727433,288.043097062143,304.380355373306
"LOC107985251",7.97670635559106,0,3.0300903867561,2.08881728693307,0,0
"CD55",3755.03451689449,3298.6534519124,3595.20224388611,4363.53931240319,3928.82312536967,4444.55393915166
"CR2",11.9650595333866,18.205745164056,22.7256779006707,21.9325815127973,27.5335313368225,34.0425397456987
"CD46",1559.44609251805,2175.5865471047,1914.25960183316,2689.35225692633,2849.72049336113,3007.75851164938
"MIR29B2CHG",0.997088294448882,0,10.6053163536463,0,2.11796394898635,2.00250233798228
"LOC148696",0,0,3.0300903867561,0,0,0
"LINC02767",0,0,0,0,0,0
"PLXNA2",199.417658889776,169.541001840272,238.619617957042,206.792911406374,254.155673878362,230.287768867962
"LOC105372884",7.97670635559106,2.275718145507,14.3929293370915,0,2.11796394898635,2.00250233798228
"LOC105372888",0,0,0,0,0,0
"LINC02769",5.98252976669329,0,0,0,0,0
"LOC105372892",0,0,0,0,0,0
"RPS26P13",3.98835317779553,0,0,0,0,0
"CAMK1G",3.98835317779553,2.275718145507,9.09027116026829,10.4440864346654,10.5898197449317,6.00750701394683
"LAMB3",4073.10568282368,3855.06653848887,4490.59395317253,5109.2470838383,4794.01139853059,5136.41849692454
"HSD11B1-AS1",5.98252976669329,0,0,2.08881728693307,1.05898197449317,1.00125116899114
"G0S2",390.858611423962,443.765038373866,415.122382985585,758.240675156706,605.737689410095,477.596807608773
"TRAF3IP3",0,0,3.0300903867561,4.17763457386615,0,0
"C1orf74",238.304102373283,270.810459315334,303.766561272299,223.503449701839,202.265557128196,214.267750164104
"IRF6",550.392738535783,727.091947489488,666.619885086341,1104.9843447876,1045.21520882476,1091.36377420034
"UTP25",385.873169951717,730.505524707748,617.380916301554,651.710993523119,773.056841380016,744.930869729407
"SYT14",0,6.82715443652101,3.0300903867561,1.04440864346654,0,2.00250233798228
"HHAT",0,0,0,10.4440864346654,4.23592789797269,2.00250233798228
"KCNH1",5.98252976669329,2.275718145507,1.51504519337805,0,2.11796394898635,1.00125116899114
"KCNH1-IT1",4.98544147224441,1.1378590727535,0,2.08881728693307,0,2.00250233798228
"RPS25P2",29.9126488334665,18.205745164056,9.84779375695731,8.3552691477323,0,6.00750701394683
"PRELID1P5",5.98252976669329,2.275718145507,1.51504519337805,0,2.11796394898635,0
"LOC105372902",3.98835317779553,3.41357721826051,6.06018077351219,10.4440864346654,0,4.00500467596456
"RCOR3",399.832406074002,435.800024864591,381.033866134579,502.360557507404,505.134401833244,423.529244483252
"TRAF5",181.470069589697,182.05745164056,244.679798730555,173.371834815445,226.622142541539,215.269001333095
"LOC107985258",0,0,2.27256779006707,0,0,1.00125116899114
"LINC00467",324.053695695887,166.127424622011,218.924030443128,101.307638416254,106.95717942381,88.1101028712202
"LOC107985259",0,0,1.51504519337805,0,0,1.00125116899114
"SNX25P1",0,0,0,0,2.11796394898635,2.00250233798228
"RD3",0,0,0,0,0,0
"LOC107985260",0,0,4.54513558013414,0,0,0
"SLC30A1",2546.56350402244,3060.84090570692,2133.94115487298,1831.89276064031,2171.9720296855,1797.24584833909
"NEK2",813.624048270288,868.186472510922,692.375653373768,1109.16197936146,976.381380482705,861.076005332379
"FDPSP8",0,0,0,0,2.11796394898635,0
"LOC91548",4.98544147224441,0,0.757522596689024,3.13322593039961,2.11796394898635,0
"LPGAT1",2621.34512610611,3181.45396741879,2805.86369813614,3133.22593039961,4153.32730396222,3766.70689774466
"INTS7",1337.09540285595,2208.58446021455,1765.78517288211,2162.9703006192,2250.33669579799,2441.0503500004
"DTL",1997.16785378111,2731.99963368116,2374.0758180234,2790.65989534259,3446.98632697528,3449.31027717447
"RPL21P28",257.248779967812,91.0287258202802,116.65847989011,37.5987111647953,23.2976034388498,14.0175163658759
"LINC02608",0,0,0.757522596689024,0,2.11796394898635,0
"PPP2R5A",1292.22642960575,1474.66535828854,1402.17432647138,1608.38931093847,1887.10587854683,1867.33343016847
"RPL23AP18",0,0,0,0,2.11796394898635,0
"LOC107985262",0,1.1378590727535,1.51504519337805,0,0,3.00375350697342
"SNORA16B",0,0,1.51504519337805,0,0,0
